# State Code or Tribal Indicator (TT)|County Code or Tribal Code|Site_ID number|Parameter Code|POC|Sampling Begin Date-Time (YYYYMMDD HHMM)|Sample Value|Null Data Code|Null Code Description|Null Code Concurrence|Null Extra|Units Code|Units Description|Event Type Code|Event Type Description|Event-Sample Association Date|Event Description|Event Creation Date|Event coment text or URL|Standard for Concurrence 1|Concurrence Indicator 1|Concurrence Date 1|Concurrence Comment 1|Standard for Concurrence 2|Concurrence Indicator 2|Concurrence Date 2|Concurrence Comment 2|Standard for Concurrence 3|Concurrence Indicator 3|Concurrence Date 3|Concurrence Comment 3|Standard for Concurrence 4|Concurrence Indicator 4|Concurrence Date 4|Concurrence Comment 4|QA Qualifier Code 1|QA Qualifier Description 1|QA Qualifier 1 Comment|QA Qualifier Code 2|QA Qualifier Description 2|QA Qualifier 2 Comment|QA Qualifier Code 3|QA Qualifier Description 3|QA Qualifier 3 Comment|QA Qualifier Code 4|QA Qualifier Description 4|QA Qualifier 4 Comment|QA Qualifier Code 5|QA Qualifier Description 5|QA Qualifier 5 Comment|QA Qualifier Code 6|QA Qualifier Description 6|QA Qualifier 6 Comment|QA Qualifier Code 7|QA Qualifier Description 7|QA Qualifier 7 Comment|QA Qualifier Code 8|QA Qualifier Description 8|QA Qualifier 8 Comment|QA Qualifier Code 9|QA Qualifier Description 9|QA Qualifier 9 Comment|QA Qualifier Code 10|QA Qualifier Description 10|QA Qualifier 10 Comment
09|001|9003|44201|1|20160525 00:00|.001|||||007|Parts per million|RF|Fire - Canadian.|20170322 15:48|Ozone impacted by transported smoke/precursors from Alberta, Canada wildfire|20170322 14:38||Ozone 1-hour 1979|Y|01-AUG-17||Ozone 8-Hour 1997|Y|01-AUG-17||Ozone 8-Hour 2008|Y|01-AUG-17||Ozone 8-hour 2015|Y|01-AUG-17|||||||||||||||||||||||||||||||
09|001|9003|44201|1|20160525 01:00|0|||||007|Parts per million|RF|Fire - Canadian.|20170322 15:48|Ozone impacted by transported smoke/precursors from Alberta, Canada wildfire|20170322 14:38||Ozone 1-hour 1979|Y|01-AUG-17||Ozone 8-Hour 1997|Y|01-AUG-17||Ozone 8-Hour 2008|Y|01-AUG-17||Ozone 8-hour 2015|Y|01-AUG-17|||||||||||||||||||||||||||||||
09|001|9003|44201|1|20160525 02:00|0|||||007|Parts per million|RF|Fire - Canadian.|20170322 15:48|Ozone impacted by transported smoke/precursors from Alberta, Canada wildfire|20170322 14:38||Ozone 1-hour 1979|Y|01-AUG-17||Ozone 8-Hour 1997|Y|01-AUG-17||Ozone 8-Hour 2008|Y|01-AUG-17||Ozone 8-hour 2015|Y|01-AUG-17|||||||||||||||||||||||||||||||
09|001|9003|44201|1|20160525 03:00|0|||||007|Parts per million|RF|Fire - Canadian.|20170322 15:48|Ozone impacted by transported smoke/precursors from Alberta, Canada wildfire|20170322 14:38||Ozone 1-hour 1979|Y|01-AUG-17||Ozone 8-Hour 1997|Y|01-AUG-17||Ozone 8-Hour 2008|Y|01-AUG-17||Ozone 8-hour 2015|Y|01-AUG-17|||||||||||||||||||||||||||||||
09|001|9003|44201|1|20160525 04:00|0|||||007|Parts per million|RF|Fire - Canadian.|20170322 15:48|Ozone impacted by transported smoke/precursors from Alberta, Canada wildfire|20170322 14:38||Ozone 1-hour 1979|Y|01-AUG-17||Ozone 8-Hour 1997|Y|01-AUG-17||Ozone 8-Hour 2008|Y|01-AUG-17||Ozone 8-hour 2015|Y|01-AUG-17|||||||||||||||||||||||||||||||
09|001|9003|44201|1|20160525 05:00|.001|||||007|Parts per million|RF|Fire - Canadian.|20170322 15:48|Ozone impacted by transported smoke/precursors from Alberta, Canada wildfire|20170322 14:38||Ozone 1-hour 1979|Y|01-AUG-17||Ozone 8-Hour 1997|Y|01-AUG-17||Ozone 8-Hour 2008|Y|01-AUG-17||Ozone 8-hour 2015|Y|01-AUG-17|||||||||||||||||||||||||||||||
09|001|9003|44201|1|20160525 06:00|.006|||||007|Parts per million|RF|Fire - Canadian.|20170322 15:48|Ozone impacted by transported smoke/precursors from Alberta, Canada wildfire|20170322 14:38||Ozone 1-hour 1979|Y|01-AUG-17||Ozone 8-Hour 1997|Y|01-AUG-17||Ozone 8-Hour 2008|Y|01-AUG-17||Ozone 8-hour 2015|Y|01-AUG-17|||||||||||||||||||||||||||||||
09|001|9003|44201|1|20160525 07:00|.013|||||007|Parts per million|RF|Fire - Canadian.|20170322 15:48|Ozone impacted by transported smoke/precursors from Alberta, Canada wildfire|20170322 14:38||Ozone 1-hour 1979|Y|01-AUG-17||Ozone 8-Hour 1997|Y|01-AUG-17||Ozone 8-Hour 2008|Y|01-AUG-17||Ozone 8-hour 2015|Y|01-AUG-17|||||||||||||||||||||||||||||||
09|001|9003|44201|1|20160525 08:00|.02|||||007|Parts per million|RF|Fire - Canadian.|20170322 15:48|Ozone impacted by transported smoke/precursors from Alberta, Canada wildfire|20170322 14:38||Ozone 1-hour 1979|Y|01-AUG-17||Ozone 8-Hour 1997|Y|01-AUG-17||Ozone 8-Hour 2008|Y|01-AUG-17||Ozone 8-hour 2015|Y|01-AUG-17|||||||||||||||||||||||||||||||
09|001|9003|44201|1|20160525 09:00|.028|||||007|Parts per million|RF|Fire - Canadian.|20170322 15:48|Ozone impacted by transported smoke/precursors from Alberta, Canada wildfire|20170322 14:38||Ozone 1-hour 1979|Y|01-AUG-17||Ozone 8-Hour 1997|Y|01-AUG-17||Ozone 8-Hour 2008|Y|01-AUG-17||Ozone 8-hour 2015|Y|01-AUG-17|||||||||||||||||||||||||||||||
