"","state_county_fips","events","state","county"
"1","04013",2,"Arizona","Maricopa County"
"2","06007",1,"California","Butte County"
"3","06009",4,"California","Calaveras County"
"4","06019",1,"California","Fresno County"
"5","06025",78,"California","Imperial County"
"6","06027",1,"California","Inyo County"
"7","06029",1,"California","Kern County"
"8","06031",1,"California","Kings County"
"9","06057",4,"California","Nevada County"
"10","06067",2,"California","Sacramento County"
"11","06077",2,"California","San Joaquin County"
"12","06079",2,"California","San Luis Obispo County"
"13","06099",2,"California","Stanislaus County"
"14","06101",2,"California","Sutter County"
"15","06103",2,"California","Tehama County"
"16","06109",2,"California","Tuolumne County"
"17","06111",3,"California","Ventura County"
"18","08059",1,"Colorado","Jefferson County"
"19","09001",1,"Connecticut","Fairfield County"
"20","09003",1,"Connecticut","Hartford County"
"21","09005",1,"Connecticut","Litchfield County"
"22","09015",1,"Connecticut","Windham County"
"23","16079",1,"Idaho","Shoshone County"
"24","17031",1,"Illinois","Cook County"
"25","22005",1,"Louisiana","Ascension Parish"
"26","24003",2,"Maryland","Anne Arundel County"
"27","24005",2,"Maryland","Baltimore County"
"28","24015",2,"Maryland","Cecil County"
"29","24017",1,"Maryland","Charles County"
"30","24019",1,"Maryland","Dorchester County"
"31","24025",2,"Maryland","Harford County"
"32","24029",1,"Maryland","Kent County"
"33","24033",2,"Maryland","Prince George's County"
"34","24510",2,"Maryland","Baltimore city"
"35","25013",1,"Massachusetts","Hampden County"
"36","25015",1,"Massachusetts","Hampshire County"
"37","26163",1,"Michigan","Wayne County"
"38","30029",2,"Montana","Flathead County"
"39","30053",1,"Montana","Lincoln County"
"40","30063",1,"Montana","Missoula County"
"41","30089",2,"Montana","Sanders County"
"42","32003",5,"Nevada","Clark County"
"43","32031",1,"Nevada","Washoe County"
"44","34001",1,"New Jersey","Atlantic County"
"45","34003",1,"New Jersey","Bergen County"
"46","34007",1,"New Jersey","Camden County"
"47","34011",1,"New Jersey","Cumberland County"
"48","34013",1,"New Jersey","Essex County"
"49","34015",1,"New Jersey","Gloucester County"
"50","34017",1,"New Jersey","Hudson County"
"51","34019",1,"New Jersey","Hunterdon County"
"52","34021",1,"New Jersey","Mercer County"
"53","34023",1,"New Jersey","Middlesex County"
"54","34025",1,"New Jersey","Monmouth County"
"55","34027",1,"New Jersey","Morris County"
"56","34029",1,"New Jersey","Ocean County"
"57","34031",1,"New Jersey","Passaic County"
"58","34041",1,"New Jersey","Warren County"
"59","35001",5,"New Mexico","Bernalillo County"
"60","35013",5,"New Mexico","Dona Ana County"
"61","35029",5,"New Mexico","Luna County"
"62","39017",2,"Ohio","Butler County"
"63","39035",1,"Ohio","Cuyahoga County"
"64","39055",1,"Ohio","Geauga County"
"65","39085",1,"Ohio","Lake County"
"66","39093",1,"Ohio","Lorain County"
"67","39165",1,"Ohio","Warren County"
"68","41035",1,"Oregon","Klamath County"
"69","41039",4,"Oregon","Lane County"
"70","42001",1,"Pennsylvania","Adams County"
"71","42005",1,"Pennsylvania","Armstrong County"
"72","42007",1,"Pennsylvania","Beaver County"
"73","42011",1,"Pennsylvania","Berks County"
"74","42013",1,"Pennsylvania","Blair County"
"75","42015",1,"Pennsylvania","Bradford County"
"76","42017",1,"Pennsylvania","Bucks County"
"77","42021",1,"Pennsylvania","Cambria County"
"78","42027",1,"Pennsylvania","Centre County"
"79","42029",1,"Pennsylvania","Chester County"
"80","42033",1,"Pennsylvania","Clearfield County"
"81","42043",1,"Pennsylvania","Dauphin County"
"82","42045",1,"Pennsylvania","Delaware County"
"83","42049",1,"Pennsylvania","Erie County"
"84","42055",1,"Pennsylvania","Franklin County"
"85","42059",1,"Pennsylvania","Greene County"
"86","42063",1,"Pennsylvania","Indiana County"
"87","42069",1,"Pennsylvania","Lackawanna County"
"88","42071",1,"Pennsylvania","Lancaster County"
"89","42073",1,"Pennsylvania","Lawrence County"
"90","42075",1,"Pennsylvania","Lebanon County"
"91","42079",1,"Pennsylvania","Luzerne County"
"92","42081",1,"Pennsylvania","Lycoming County"
"93","42085",1,"Pennsylvania","Mercer County"
"94","42089",1,"Pennsylvania","Monroe County"
"95","42091",1,"Pennsylvania","Montgomery County"
"96","42095",1,"Pennsylvania","Northampton County"
"97","42101",1,"Pennsylvania","Philadelphia County"
"98","42117",1,"Pennsylvania","Tioga County"
"99","42125",1,"Pennsylvania","Washington County"
"100","42133",1,"Pennsylvania","York County"
"101","44003",1,"Rhode Island","Kent County"
"102","44007",1,"Rhode Island","Providence County"
"103","44009",1,"Rhode Island","Washington County"
"104","48141",1,"Texas","El Paso County"
"105","49005",2,"Utah","Cache County"
"106","49035",2,"Utah","Salt Lake County"
"107","53005",1,"Washington","Benton County"
