"","name","pop","year"
"1","Lamar city, Colorado",7591,"2022"
"2","Pagosa Springs town, Colorado",1720,"2022"
"3","Telluride town, Colorado",2588,"2022"
"4","Pinehurst city, Idaho",1783,"2022"
"5","Klamath Falls city, Oregon",21977,"2022"
"6","Logan city, Utah",54680,"2022"
"7","Provo city, Utah",113523,"2022"
"8","Bakersfield city, California",410647,"2022"
"9","Fairbanks, AK",95356,"2022"
"10","Phoenix-Mesa-Chandler, AZ",5015678,"2022"
"11","Sacramento-Roseville-Folsom, CA",2416702,"2022"
"12","Payson, AZ",53922,"2022"
"13","Butte County",207303,"2022"
"14","Calaveras County",46563,"2022"
"15","Fresno County",1015190,"2022"
"16","Imperial County",178713,"2022"
"17","Kings County",152981,"2022"
"18","Madera County",160256,"2022"
"19","Merced County",290014,"2022"
"20","San Joaquin County",793229,"2022"
"21","San Joaquin County",793229,"2022"
"22","Stanislaus County",551275,"2022"
"23","Tulare County",477544,"2022"
"24","Tuolumne County",54531,"2022"
"25","Ventura County",832605,"2022"
"26","Ada County",518907,"2022"
"27","Anne Arundel County",593286,"2022"
"28","Baltimore County",846161,"2022"
"29","Carroll County",175305,"2022"
"30","Harford County",263867,"2022"
"31","Howard County",335411,"2022"
"32","Macomb County",874195,"2022"
"33","Monroe County",155609,"2022"
"34","Oakland County",1269431,"2022"
"35","St. Clair County",160151,"2022"
"36","Washtenaw County",366376,"2022"
"37","Wayne County",1757043,"2022"
"38","Davis County",369948,"2022"
"39","Salt Lake County",1186257,"2022"
"40","Benton County",212791,"2022"
"41","Franklin County",98678,"2022"
"42","Walla Walla County",61890,"2022"
