"","airs_monitor_id","agency_desc","pollutant_name","exceptional_event_id","event_description","event_type_code","event_type_description","event_begin_date","event_end_date","sample_value","sample_date_time","sample_units","concurrence_ind","concurrence_date","concurrence_comment","naaqs_description","naaqs_statistic","naaqs_basis","naaqs_level","date","state_county_fips","state","county"
"1","09-003-1003-44201-1","Connecticut Department of Environmental Protection","Ozone",1840,"Ozone impacted by transported smoke/precursors from Alberta, Canada wildfire","RF","Fire - Canadian.","2016/05/25","2016/05/26",0,"2016/05/25","ppm","Y","2017/08/01 10:56:53 AM","null","Ozone 1-hour 1979","Annual Estimated Days > Standard","Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM)",0.12,2016-05-25,"09003","Connecticut","Hartford County"
"2","09-001-9003-44201-1","Connecticut Department of Environmental Protection","Ozone",1840,"Ozone impacted by transported smoke/precursors from Alberta, Canada wildfire","RF","Fire - Canadian.","2016/05/25","2016/05/26",0.001,"2016/05/25","ppm","Y","2017/08/01 10:56:52 AM","null","Ozone 1-hour 1979","Annual Estimated Days > Standard","Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM)",0.12,2016-05-25,"09001","Connecticut","Fairfield County"
"3","09-005-0005-44201-1","Connecticut Department of Environmental Protection","Ozone",1840,"Ozone impacted by transported smoke/precursors from Alberta, Canada wildfire","RF","Fire - Canadian.","2016/05/25","2016/05/26",0.046,"2016/05/25","ppm","Y","2017/08/01 10:56:54 AM","null","Ozone 1-hour 1979","Annual Estimated Days > Standard","Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM)",0.12,2016-05-25,"09005","Connecticut","Litchfield County"
"4","09-005-0005-44201-1","Connecticut Department of Environmental Protection","Ozone",1840,"Ozone impacted by transported smoke/precursors from Alberta, Canada wildfire","RF","Fire - Canadian.","2016/05/25","2016/05/26",0.046,"2016/05/25","ppm","Y","2017/08/01 10:56:54 AM","null","Ozone 8-Hour 1997","Annual 4th Maximum","Daily maximum of 8 hour running average of observed hourly values",0.08,2016-05-25,"09005","Connecticut","Litchfield County"
"5","09-003-1003-44201-1","Connecticut Department of Environmental Protection","Ozone",1840,"Ozone impacted by transported smoke/precursors from Alberta, Canada wildfire","RF","Fire - Canadian.","2016/05/25","2016/05/26",0,"2016/05/25","ppm","Y","2017/08/01 10:56:53 AM","null","Ozone 8-Hour 1997","Annual 4th Maximum","Daily maximum of 8 hour running average of observed hourly values",0.08,2016-05-25,"09003","Connecticut","Hartford County"
"6","09-001-9003-44201-1","Connecticut Department of Environmental Protection","Ozone",1840,"Ozone impacted by transported smoke/precursors from Alberta, Canada wildfire","RF","Fire - Canadian.","2016/05/25","2016/05/26",0.001,"2016/05/25","ppm","Y","2017/08/01 10:56:52 AM","null","Ozone 8-Hour 1997","Annual 4th Maximum","Daily maximum of 8 hour running average of observed hourly values",0.08,2016-05-25,"09001","Connecticut","Fairfield County"
"7","09-005-0005-44201-1","Connecticut Department of Environmental Protection","Ozone",1840,"Ozone impacted by transported smoke/precursors from Alberta, Canada wildfire","RF","Fire - Canadian.","2016/05/25","2016/05/26",0.046,"2016/05/25","ppm","Y","2017/08/01 10:56:54 AM","null","Ozone 8-Hour 2008","Annual 4th Maximum","Daily maximum of 8 hour running average of observed hourly values",0.075,2016-05-25,"09005","Connecticut","Litchfield County"
"8","09-001-9003-44201-1","Connecticut Department of Environmental Protection","Ozone",1840,"Ozone impacted by transported smoke/precursors from Alberta, Canada wildfire","RF","Fire - Canadian.","2016/05/25","2016/05/26",0.001,"2016/05/25","ppm","Y","2017/08/01 10:56:52 AM","null","Ozone 8-Hour 2008","Annual 4th Maximum","Daily maximum of 8 hour running average of observed hourly values",0.075,2016-05-25,"09001","Connecticut","Fairfield County"
"9","09-003-1003-44201-1","Connecticut Department of Environmental Protection","Ozone",1840,"Ozone impacted by transported smoke/precursors from Alberta, Canada wildfire","RF","Fire - Canadian.","2016/05/25","2016/05/26",0,"2016/05/25","ppm","Y","2017/08/01 10:56:53 AM","null","Ozone 8-Hour 2008","Annual 4th Maximum","Daily maximum of 8 hour running average of observed hourly values",0.075,2016-05-25,"09003","Connecticut","Hartford County"
"10","09-005-0005-44201-1","Connecticut Department of Environmental Protection","Ozone",1840,"Ozone impacted by transported smoke/precursors from Alberta, Canada wildfire","RF","Fire - Canadian.","2016/05/25","2016/05/26",0.046,"2016/05/25","ppm","Y","2017/08/01 10:56:54 AM","null","Ozone 8-hour 2015","Annual 4th Maximum","Daily maximum of 8-hour running average",0.07,2016-05-25,"09005","Connecticut","Litchfield County"
