"","date","site_id","daily_mean_pm10_concentration","state","county","site_longitude","site_latitude","concurred"
"1",2018-01-01,"060670010",47,"California","Sacramento",-121.49311,38.56844,"N"
"2",2018-01-03,"060670010",65,"California","Sacramento",-121.49311,38.56844,"N"
"3",2018-01-04,"060670010",42,"California","Sacramento",-121.49311,38.56844,"N"
"4",2018-01-05,"060670010",26,"California","Sacramento",-121.49311,38.56844,"N"
"5",2018-01-06,"060670010",13,"California","Sacramento",-121.49311,38.56844,"N"
"6",2018-01-07,"060670010",17,"California","Sacramento",-121.49311,38.56844,"N"
"7",2018-01-08,"060670010",11,"California","Sacramento",-121.49311,38.56844,"N"
"8",2018-01-09,"060670010",5,"California","Sacramento",-121.49311,38.56844,"N"
"9",2018-01-10,"060670010",14,"California","Sacramento",-121.49311,38.56844,"N"
"10",2018-01-11,"060670010",25,"California","Sacramento",-121.49311,38.56844,"N"
"11",2018-01-12,"060670010",18,"California","Sacramento",-121.49311,38.56844,"N"
"12",2018-01-13,"060670010",23,"California","Sacramento",-121.49311,38.56844,"N"
"13",2018-01-14,"060670010",28,"California","Sacramento",-121.49311,38.56844,"N"
"14",2018-01-15,"060670010",24,"California","Sacramento",-121.49311,38.56844,"N"
"15",2018-01-16,"060670010",21,"California","Sacramento",-121.49311,38.56844,"N"
"16",2018-01-17,"060670010",21,"California","Sacramento",-121.49311,38.56844,"N"
"17",2018-01-18,"060670010",31,"California","Sacramento",-121.49311,38.56844,"N"
"18",2018-01-19,"060670010",10,"California","Sacramento",-121.49311,38.56844,"N"
"19",2018-01-20,"060670010",10,"California","Sacramento",-121.49311,38.56844,"N"
"20",2018-01-21,"060670010",18,"California","Sacramento",-121.49311,38.56844,"N"
"21",2018-01-22,"060670010",12,"California","Sacramento",-121.49311,38.56844,"N"
"22",2018-01-23,"060670010",16,"California","Sacramento",-121.49311,38.56844,"N"
"23",2018-01-24,"060670010",19,"California","Sacramento",-121.49311,38.56844,"N"
"24",2018-01-25,"060670010",10,"California","Sacramento",-121.49311,38.56844,"N"
"25",2018-01-26,"060670010",16,"California","Sacramento",-121.49311,38.56844,"N"
"26",2018-01-27,"060670010",15,"California","Sacramento",-121.49311,38.56844,"N"
"27",2018-01-31,"060670010",24,"California","Sacramento",-121.49311,38.56844,"N"
"28",2018-02-01,"060670010",27,"California","Sacramento",-121.49311,38.56844,"N"
"29",2018-02-02,"060670010",43,"California","Sacramento",-121.49311,38.56844,"N"
"30",2018-02-03,"060670010",42,"California","Sacramento",-121.49311,38.56844,"N"
"31",2018-02-04,"060670010",37,"California","Sacramento",-121.49311,38.56844,"N"
"32",2018-02-06,"060670010",18,"California","Sacramento",-121.49311,38.56844,"N"
"33",2018-02-07,"060670010",30,"California","Sacramento",-121.49311,38.56844,"N"
"34",2018-02-08,"060670010",37,"California","Sacramento",-121.49311,38.56844,"N"
"35",2018-02-09,"060670010",34,"California","Sacramento",-121.49311,38.56844,"N"
"36",2018-02-10,"060670010",29,"California","Sacramento",-121.49311,38.56844,"N"
"37",2018-02-11,"060670010",17,"California","Sacramento",-121.49311,38.56844,"N"
"38",2018-02-12,"060670010",16,"California","Sacramento",-121.49311,38.56844,"N"
"39",2018-02-13,"060670010",17,"California","Sacramento",-121.49311,38.56844,"N"
"40",2018-02-14,"060670010",18,"California","Sacramento",-121.49311,38.56844,"N"
"41",2018-02-15,"060670010",16,"California","Sacramento",-121.49311,38.56844,"N"
"42",2018-02-16,"060670010",26,"California","Sacramento",-121.49311,38.56844,"N"
"43",2018-02-17,"060670010",27,"California","Sacramento",-121.49311,38.56844,"N"
"44",2018-02-18,"060670010",10,"California","Sacramento",-121.49311,38.56844,"N"
"45",2018-02-19,"060670010",13,"California","Sacramento",-121.49311,38.56844,"N"
"46",2018-02-20,"060670010",13,"California","Sacramento",-121.49311,38.56844,"N"
"47",2018-02-21,"060670010",16,"California","Sacramento",-121.49311,38.56844,"N"
"48",2018-02-22,"060670010",12,"California","Sacramento",-121.49311,38.56844,"N"
"49",2018-02-23,"060670010",15,"California","Sacramento",-121.49311,38.56844,"N"
"50",2018-02-24,"060670010",19,"California","Sacramento",-121.49311,38.56844,"N"
"51",2018-02-25,"060670010",15,"California","Sacramento",-121.49311,38.56844,"N"
"52",2018-02-26,"060670010",11,"California","Sacramento",-121.49311,38.56844,"N"
"53",2018-02-27,"060670010",14,"California","Sacramento",-121.49311,38.56844,"N"
"54",2018-02-28,"060670010",17,"California","Sacramento",-121.49311,38.56844,"N"
"55",2018-03-01,"060670010",12,"California","Sacramento",-121.49311,38.56844,"N"
"56",2018-03-02,"060670010",10,"California","Sacramento",-121.49311,38.56844,"N"
"57",2018-03-03,"060670010",10,"California","Sacramento",-121.49311,38.56844,"N"
"58",2018-03-04,"060670010",10,"California","Sacramento",-121.49311,38.56844,"N"
"59",2018-03-05,"060670010",11,"California","Sacramento",-121.49311,38.56844,"N"
"60",2018-03-06,"060670010",20,"California","Sacramento",-121.49311,38.56844,"N"
"61",2018-03-07,"060670010",23,"California","Sacramento",-121.49311,38.56844,"N"
"62",2018-03-08,"060670010",12,"California","Sacramento",-121.49311,38.56844,"N"
"63",2018-03-09,"060670010",14,"California","Sacramento",-121.49311,38.56844,"N"
