"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE","airnowval","aqsval"
"01/01/2018","AQS","060570005","1","0.041","ppm","38","Grass Valley-Litton Building","17","100.0000","44201","Ozone","46020","Truckee-Grass Valley, CA","06","California","057","Nevada","39.2334770009245","-121.055608",".","0.041"
"01/02/2018","AQS","060570005","1","0.035","ppm","32","Grass Valley-Litton Building","17","100.0000","44201","Ozone","46020","Truckee-Grass Valley, CA","06","California","057","Nevada","39.2334770009245","-121.055608",".","0.035"
"01/03/2018","AQS","060570005","1","0.035","ppm","32","Grass Valley-Litton Building","17","100.0000","44201","Ozone","46020","Truckee-Grass Valley, CA","06","California","057","Nevada","39.2334770009245","-121.055608",".","0.035"
"01/04/2018","AQS","060570005","1","0.029","ppm","27","Grass Valley-Litton Building","17","100.0000","44201","Ozone","46020","Truckee-Grass Valley, CA","06","California","057","Nevada","39.2334770009245","-121.055608",".","0.029"
"01/05/2018","AQS","060570005","1","0.03","ppm","28","Grass Valley-Litton Building","17","100.0000","44201","Ozone","46020","Truckee-Grass Valley, CA","06","California","057","Nevada","39.2334770009245","-121.055608",".","0.03"
"01/06/2018","AQS","060570005","1","0.036","ppm","33","Grass Valley-Litton Building","17","100.0000","44201","Ozone","46020","Truckee-Grass Valley, CA","06","California","057","Nevada","39.2334770009245","-121.055608",".","0.036"
"01/07/2018","AQS","060570005","1","0.032","ppm","30","Grass Valley-Litton Building","17","100.0000","44201","Ozone","46020","Truckee-Grass Valley, CA","06","California","057","Nevada","39.2334770009245","-121.055608",".","0.032"
"01/08/2018","AQS","060570005","1","0.032","ppm","30","Grass Valley-Litton Building","17","100.0000","44201","Ozone","46020","Truckee-Grass Valley, CA","06","California","057","Nevada","39.2334770009245","-121.055608",".","0.032"
"01/09/2018","AQS","060570005","1","0.042","ppm","39","Grass Valley-Litton Building","17","100.0000","44201","Ozone","46020","Truckee-Grass Valley, CA","06","California","057","Nevada","39.2334770009245","-121.055608",".","0.042"
"01/10/2018","AQS","060570005","1","0.033","ppm","31","Grass Valley-Litton Building","17","100.0000","44201","Ozone","46020","Truckee-Grass Valley, CA","06","California","057","Nevada","39.2334770009245","-121.055608",".","0.033"
"01/11/2018","AQS","060570005","1","0.028","ppm","26","Grass Valley-Litton Building","17","100.0000","44201","Ozone","46020","Truckee-Grass Valley, CA","06","California","057","Nevada","39.2334770009245","-121.055608",".","0.028"
"01/12/2018","AQS","060570005","1","0.042","ppm","39","Grass Valley-Litton Building","17","100.0000","44201","Ozone","46020","Truckee-Grass Valley, CA","06","California","057","Nevada","39.2334770009245","-121.055608",".","0.042"
"01/13/2018","AQS","060570005","1","0.047","ppm","44","Grass Valley-Litton Building","17","100.0000","44201","Ozone","46020","Truckee-Grass Valley, CA","06","California","057","Nevada","39.2334770009245","-121.055608",".","0.047"
"01/14/2018","AQS","060570005","1","0.041","ppm","38","Grass Valley-Litton Building","17","100.0000","44201","Ozone","46020","Truckee-Grass Valley, CA","06","California","057","Nevada","39.2334770009245","-121.055608",".","0.041"
"01/15/2018","AQS","060570005","1","0.048","ppm","44","Grass Valley-Litton Building","17","100.0000","44201","Ozone","46020","Truckee-Grass Valley, CA","06","California","057","Nevada","39.2334770009245","-121.055608",".","0.048"
"01/16/2018","AQS","060570005","1","0.041","ppm","38","Grass Valley-Litton Building","17","100.0000","44201","Ozone","46020","Truckee-Grass Valley, CA","06","California","057","Nevada","39.2334770009245","-121.055608",".","0.041"
"01/17/2018","AQS","060570005","1","0.04","ppm","37","Grass Valley-Litton Building","17","100.0000","44201","Ozone","46020","Truckee-Grass Valley, CA","06","California","057","Nevada","39.2334770009245","-121.055608",".","0.04"
"01/18/2018","AQS","060570005","1","0.048","ppm","44","Grass Valley-Litton Building","17","100.0000","44201","Ozone","46020","Truckee-Grass Valley, CA","06","California","057","Nevada","39.2334770009245","-121.055608",".","0.048"
"01/19/2018","AQS","060570005","1","0.051","ppm","47","Grass Valley-Litton Building","17","100.0000","44201","Ozone","46020","Truckee-Grass Valley, CA","06","California","057","Nevada","39.2334770009245","-121.055608",".","0.051"
"01/20/2018","AQS","060570005","1","0.049","ppm","45","Grass Valley-Litton Building","17","100.0000","44201","Ozone","46020","Truckee-Grass Valley, CA","06","California","057","Nevada","39.2334770009245","-121.055608",".","0.049"
"01/21/2018","AQS","060570005","1","0.052","ppm","48","Grass Valley-Litton Building","17","100.0000","44201","Ozone","46020","Truckee-Grass Valley, CA","06","California","057","Nevada","39.2334770009245","-121.055608",".","0.052"
